query_table,query_value,candidate_table,candidate_value
stadium_left,estadio coatzacoalcos,stadium_right,estadio centenario (cuernavaca)
song_left,forget him,song_right,forget him (teresa teng song)
sportfacility_left,moscow region stadium,sportfacility_right,spartak stadium (bobruisk)
venue_left,zirka stadium,venue_right,gani muratbayev stadium
nationalfootballleagueseason_left,1981 detroit lions season,nationalfootballleagueseason_right,1921 detroit tigers season (nfl)
soccerclubseason_left,2009 down senior football season,soccerclubseason_right,2010 down football season
tournament_left,2009 caf beach soccer championship,tournament_right,2013 caf beach soccer championship
enzyme_left,deoxyhypusine monooxygenase,enzyme_right,4-hydroxyphenylacetate 3-monooxygenase
soccertournament_left,2009 uefa women's u-17 championship,soccertournament_right,2009 uefa u-17 women's championship
drug_left,n-methyltryptamine,drug_right,"n,n-dimethyltryptamine"
stadium_left,cabarrus arena & events center,stadium_right,cabarrus arena
election_left,"madras presidency legislative assembly election, 1946",election_right,"madras presidency legislative council election, 1926"
politicalparty_left,pirate party (sweden),politicalparty_right,pirate party of sweden
railwayline_left,m6 (istanbul metro),railwayline_right,m5 (istanbul metro)
motorsportseason_left,2012 formula renault 3.5 series season,motorsportseason_right,2012 formula renault 3.5 series
ethnicgroup_left,bengali hindus,ethnicgroup_right,bengalis
footballmatch_left,2010 kenyan super cup,footballmatch_right,2013 kenyan super cup (pre-season)
governmentagency_left,"department of infrastructure, transport, regional development and local government",governmentagency_right,department of infrastructure and regional development
stadium_left,carl-benz-stadion,stadium_right,stadion am laubenweg
reptile_left,baja california rat snake,reptile_right,baja california rat snake
railwayline_left,kalininskaya line,railwayline_right,kalininsko-solntsevskaya line
railwayline_left,"line 18, shanghai metro",railwayline_right,"line 3, shenzhen metro"
legislature_left,french parliament,legislature_right,parliament of france
sportsleague_left,fivb volleyball world championship,sportsleague_right,fivb volleyball club world championship
sportfacility_left,dynamo minor arena (moscow),sportfacility_right,spartak stadium (moscow)
hospital_left,peacehealth southwest medical center,hospital_right,peacehealth sacred heart medical center at riverbend
footballleagueseason_left,1997 swedish football division 3,footballleagueseason_right,2001 swedish football division 3
soccerclubseason_left,1999 australia national football team season,soccerclubseason_right,2001 australia national soccer team season
museum_left,raaf museum,museum_right,darwin military museum
monarch_left,ali shah durrani,monarch_right,shuja shah durrani
stadium_left,td waterhouse stadium,stadium_right,td stadium
motorsportseason_left,2000 sports racing world cup season,motorsportseason_right,2000 sports racing world cup
rugbyleague_left,regional rugby championship,rugbyleague_right,asia rugby championship
clericaladministrativeregion_left,syro-malabar catholic diocese of thuckalay,clericaladministrativeregion_right,diocese of south kerala of the church of south india
stadium_left,convocation center (ohio university),stadium_right,eastern michigan university convocation center
museum_left,museum of science and technology (pucrs),museum_right,pucrs museum of science and technology
song_left,angels cry (song),song_right,angels in the sky
legislature_left,consultative council (bahrain),legislature_right,council of representatives of bahrain
legislature_left,constituent assembly of egypt,legislature_right,egyptian constituent assembly of 2012
ncaateamseason_left,1898 lsu tigers football team,ncaateamseason_right,1894 lsu football team
country_left,kingdom of hejaz,country_right,kingdom of hejaz and nejd
sportfacility_left,veterans memorial coliseum (portland),sportfacility_right,"veterans memorial coliseum (portland, oregon)"
race_left,thoroughbred club of america stakes,race_right,1000 guineas stakes
sportfacility_left,estadio antonio toledo valle,sportfacility_right,estadio nacional de lima
venue_left,chavez theatre,venue_right,abraham chavez theatre
magazine_left,avances magazine,magazine_right,word magazine
artificialsatellite_left,kosmos 2418,artificialsatellite_right,kosmos 605
magazine_left,craft&design magazine,magazine_right,word magazine
ethnicgroup_left,laotian american,ethnicgroup_right,laotian americans
clericaladministrativeregion_left,syro-malabar catholic eparchy of ujjain,clericaladministrativeregion_right,syro-malabar catholic eparchy of kalyan
rugbyleague_left,africa cup,rugbyleague_right,african development trophy
device_left,ruger security six,device_right,ruger security-six
politicalparty_left,national congress party of afghanistan,politicalparty_right,democratic watan party of afghanistan
soccerclubseason_left,2009 australia national football team season,soccerclubseason_right,2009 australia national soccer team season
legislature_left,national assembly (niger),legislature_right,national assembly of nigeria
soccerclubseason_left,2010 jeonbuk hyundai motors season,soccerclubseason_right,2010 jeonbuk hyundai motors fc season
footballleagueseason_left,2012 j. league division 2,footballleagueseason_right,2007 j.league division 2
naturalevent_left,2009 karonga earthquakes,naturalevent_right,2006 yogyakarta earthquake
reptile_left,gran canaria skink,reptile_right,gran canaria skink
race_left,irish champion stakes,race_right,irish st leger trial stakes
song_left,birthday cake (song),song_right,birthday (beatles song)
sportfacility_left,gabala city stadium,sportfacility_right,city stadium (gjilan)
race_left,thoroughbred club of america stakes,race_right,2000 guineas stakes
legislature_left,1st regional legislature (azores),legislature_right,legislative assembly of the autonomous region of the azores
televisionstation_left,k21do,televisionstation_right,k21do-d
soccerleague_left,naia national men's soccer championship,soccerleague_right,naia women's soccer championship
hospital_left,st john of god subiaco hospital,hospital_right,"st john of god hospital, subiaco"
drug_left,docetaxel,drug_right,docusate
naturalevent_left,115 antioch earthquake,naturalevent_right,847 antioch earthquake
tennistournament_left,2009 bell challenge,tennistournament_right,2010 challenge bell
motorsportseason_left,2006 fia gt3 european championship season,motorsportseason_right,2006 fia gt3 european championship
case_left,federal power commission v. sierra pacific power company,case_right,pacific gas & electric co. v. state energy resources conservation & development commission
venue_left,"lyric theatre, london",venue_right,lyric theatre (1998 new york city)
basketballteam_left,mens sana basket,basketballteam_right,mens sana 1871 basket
shoppingmall_left,market place mall,shoppingmall_right,mainplace mall
politicalparty_left,spanish socialist workers' party,politicalparty_right,people's socialist party (spain)
memberofparliament_left,geoff smith (politician),memberofparliament_right,tom smith (labour politician)
tournament_left,2002 uefa european under-17 football championship,tournament_right,2002 uefa european under-19 championship
governmentagency_left,puerto rico department of natural and environmental resources,governmentagency_right,department of natural and environmental resources (puerto rico)
motorsportseason_left,1996 world rally championship season,motorsportseason_right,1996 world rally championship
race_left,pinnacle stakes,race_right,excelsior stakes
legislature_left,house of representatives (zanzibar),legislature_right,house of representatives of zanzibar
device_left,wimmersperg spz-kr,device_right,wimmersperg spz
tournament_left,2008 afc beach soccer championship,tournament_right,2011 afc beach soccer championship
rugbyleague_left,the rugby championship,rugbyleague_right,asia rugby championship
artificialsatellite_left,kosmos 2467,artificialsatellite_right,kosmos 605
soccerclubseason_left,2011 ulsan hyundai fc season,soccerclubseason_right,2010 jeonbuk hyundai motors fc season
motorsportseason_left,2013 formula renault 3.5 series season,motorsportseason_right,2013 formula renault 3.5 series
magazine_left,fortnight magazine,magazine_right,fortnight (magazine)
unitofwork_left,united states v. kirby lumber co.,unitofwork_right,weyerhaeuser co. v. ross-simmons hardwood lumber co.
footballmatch_left,2010 international rules series,footballmatch_right,2001 international rules series
footballmatch_left,battle of nuremberg (association football),footballmatch_right,battle of nuremberg (2006 fifa world cup)
monarch_left,habibullah khan,monarch_right,saadatullah khan i
noble_left,duke francis henry of saxe-lauenburg,noble_right,duke johann wilhelm of saxe-altenburg
museum_left,museum of applied arts (belgrade),museum_right,"museum of applied arts, belgrade"
givenname_left,zsuzsanna,givenname_right,zvonimir
ethnicgroup_left,basque people,ethnicgroup_right,basques
televisionstation_left,wvtx-ca,televisionstation_right,wsvt-ca
election_left,"elections to the madrid assembly, 1987",election_right,"madrid assembly election, 1987"
noble_left,margravine magdalene sibylle of brandenburg-bayreuth,noble_right,margravine louise of brandenburg-schwedt
race_left,breeders' cup juvenile,race_right,breeders classic
artificialsatellite_left,eutelsat 28a,artificialsatellite_right,eutelsat 31a
historicbuilding_left,st stephen walbrook,historicbuilding_right,"st stephen's, walbrook"
givenname_left,hirotsugu,givenname_right,harutyun
ncaateamseason_left,2012 fiu panthers football team,ncaateamseason_right,2011 fiu golden panthers football team
televisionstation_left,w39co,televisionstation_right,w39ca-d
shoppingmall_left,great northern mall,shoppingmall_right,great northern mall (new york)
governmentagency_left,electricity authority (nz),governmentagency_right,electricity commission (new zealand)
legislature_left,chamber of deputies (mexico),legislature_right,chamber of deputies of mexico
venue_left,stadionul motorul,venue_right,stadionul motorul (arad)
soccerleague_left,omani super cup,soccerleague_right,oman super cup
case_left,brooke group ltd. v. brown & williamson tobacco corp.,case_right,lorillard tobacco co. v. reilly
country_left,ahmadnagar sultanate,country_right,kalinyamat sultanate
historicbuilding_left,st peter and paul's catholic church (new brighton),historicbuilding_right,"st peter and st paul's church, new brighton"
soccerleague_left,international rules series,soccerleague_right,international rules series
motorsportseason_left,2012 world touring car championship season,motorsportseason_right,2012 world touring car championship
stadium_left,changzhou olympic sports center,stadium_right,nanjing olympic sports centre
tennistournament_left,2012 challenger banque nationale de granby,tennistournament_right,2011 challenger banque nationale de saguenay
legislature_left,mid and east antrim district council,legislature_right,mid and east antrim borough council
footballmatch_left,2006 international rules series,footballmatch_right,1999 international rules series
footballleagueseason_left,2008 j. league division 1,footballleagueseason_right,2002 j.league division 1
politicalparty_left,workers' communist party (spain),politicalparty_right,spanish communist workers' party (1973)
footballleagueseason_left,2011 j. league division 2,footballleagueseason_right,2007 j.league division 2
noble_left,"gerhard vi, count of holstein-rendsburg",noble_right,"gerhard vi, count of holstein"
memberofparliament_left,david jones (new zealand politician),memberofparliament_right,marcus jones (uk politician)
venue_left,bumi sriwijaya stadium,venue_right,shahid rajai stadium
unitofwork_left,kramer v. union free school district no. 15,unitofwork_right,kramer v. union school district
tennistournament_left,1996 bell challenge,tennistournament_right,1998 challenge bell
naturalevent_left,2010 afghanistan earthquake,naturalevent_right,february 1998 afghanistan earthquake
museum_left,hainan provincial museum,museum_right,hainan museum
soccerleague_left,hampshire premier league,soccerleague_right,hampshire premier football league
christianbishop_left,andrew james louis brennan,christianbishop_right,andrew brennan (bishop)
legislature_left,chavakachcheri urban council,legislature_right,chavakacheri urban council
stadium_left,stadio delle alpi,stadium_right,stadio della roma
stadium_left,varsity field (albany baseball),stadium_right,"varsity field (binghamton, new york)"
clericaladministrativeregion_left,roman catholic diocese of cajamarca,clericaladministrativeregion_right,roman catholic diocese of san juan de calama
museum_left,satria mandala museum,museum_right,satriamandala museum
historicbuilding_left,church of our lady (copenhagen),historicbuilding_right,"christ church, copenhagen"
tournament_left,1995 uefa european under-16 football championship,tournament_right,1995 uefa european under-16 championship
magazine_left,tilllate,magazine_right,tilllate magazine
wrestler_left,sawahikari yukio,wrestler_right,tokuo sawada
televisionstation_left,khmt,televisionstation_right,khme
race_left,settimana internazionale di coppi e bartali,race_right,settimana internazionale di coppi e bartali
legislature_left,city council of cincinnati elections,legislature_right,"city council of cincinnati, ohio elections"
unitofwork_left,takahashi v. fish and game commission,unitofwork_right,takahashi v. fish & game commission
amphibian_left,mink frog,amphibian_right,mink frog
shoppingmall_left,lakeshore mall (florida),shoppingmall_right,the oaks mall (florida)
amphibian_left,crotaphatrema tchabalmbaboensis,amphibian_right,crotaphatrema lamottei
amphibian_left,peaks of otter salamander,amphibian_right,peaks of otter salamander
monarch_left,ali murad khan,monarch_right,najmuddin ali khan
politicalparty_left,progressive party (brazil),politicalparty_right,socialist people's party (brazil)
ncaateamseason_left,1900 alabama crimson tide football team,ncaateamseason_right,1901 alabama crimson white football team
governmentagency_left,"federal department of economic affairs, education and research",governmentagency_right,federal department of economic affairs
award_left,nickelodeon kids' choice awards,award_right,nickelodeon indonesia kids' choice awards
case_left,davis v. washington,case_right,davis v. fec
sportfacility_left,dynamo stadium (vladivostok),sportfacility_right,spartak stadium (moscow)
basketballteam_left,barreirense basket,basketballteam_right,treviso basket
soccerclubseason_left,2008 australia national football team season,soccerclubseason_right,2006 australia national soccer team season
case_left,ex parte bain,case_right,ex parte bain
basketballteam_left,apoel b.c.,basketballteam_right,ment b.c.
stadium_left,moscow region stadium,stadium_right,spartak stadium (bobruisk)
motorsportseason_left,2011 nascar corona series season,motorsportseason_right,2011 nascar corona series
noble_left,"peter of luxembourg, count of saint-pol",noble_right,peter i of luxembourg
reptile_left,common butterfly lizard,reptile_right,common butterfly lizard
venue_left,stadio di corsi sebastopoli,venue_right,stadio di corso sebastopoli
song_left,young at heart (frank sinatra song),song_right,young and beautiful (elvis presley song)
givenname_left,hiroyuki,givenname_right,harutyun
basketballteam_left,bc khimki,basketballteam_right,bc budivelnik
venue_left,44th street theatre,venue_right,broadway theatre (53rd street)
case_left,turner broadcasting v. federal communications commission,case_right,"turner broadcasting system, inc. v. fcc"
givenname_left,takeichi,givenname_right,takeru (name)
magazine_left,4q magazine,magazine_right,16 magazine
footballmatch_left,hungary vs el salvador (1982),footballmatch_right,hungary v el salvador (1982 fifa world cup)
memberofparliament_left,lionel beaumont thomas,memberofparliament_right,lionel beaumont-thomas
hospital_left,university hospital of north staffordshire,hospital_right,milton keynes university hospital
ncaateamseason_left,1945 alabama crimson tide football team,ncaateamseason_right,1897 alabama crimson white football team
soccerleague_left,gloucestershire northern senior league,soccerleague_right,north gloucestershire league
wrestler_left,vladimir torgovkin,wrestler_right,boris zhukov
legislature_left,legislative assembly of saskatchewan,legislature_right,saskatchewan legislature
rugbyleague_left,australian rugby championship,rugbyleague_right,asia rugby championship
legislature_left,national assembly (cape verde),legislature_right,national assembly of cape verde
televisionstation_left,irib tv5,televisionstation_right,irib tv1
song_left,spanish fly (song),song_right,spanish fly (instrumental)
case_left,federal power commission v. sierra pacific power company,case_right,pacific gas & electric co. v. public utilities commission
memberofparliament_left,david anderson (saskatchewan politician),memberofparliament_right,william anderson (ontario mp)
tournament_left,1979 uefa european under-18 football championship,tournament_right,1978 uefa european under-18 championship
amphibian_left,mantidactylus aerumnalis,amphibian_right,mantidactylus silvanus
galaxy_left,ngc 3593,galaxy_right,ngc 34
footballmatch_left,2001 international rules series,footballmatch_right,2006 international rules series
politicalparty_left,alliance party (malaysia),politicalparty_right,democratic action party (malaysia)
award_left,grammy award for best long form music video,award_right,grammy award for best music video
christianbishop_left,john a. ryan,christianbishop_right,joseph t. ryan
naturalevent_left,1933 sanriku earthquake,naturalevent_right,869 sanriku earthquake
stadium_left,varsity field (albany baseball),stadium_right,"varsity field (albany, new york)"
motorsportseason_left,2008 nascar canadian tire series season,motorsportseason_right,2008 nascar canadian tire series
naturalevent_left,2002 sumatra earthquake,naturalevent_right,2006 yogyakarta earthquake
basketballteam_left,ionikos nikaias b.c.,basketballteam_right,ilissiakos b.c.
venue_left,tower theatre (salt lake city),venue_right,"tower theatre (salt lake city, utah)"
governmentagency_left,ministry of finance (singapore),governmentagency_right,ministry of finance (taiwan)
sportsleague_left,gomtv global starcraft ii league,sportsleague_right,gomtv global starcraft ii league
wrestler_left,takahiro suwa,wrestler_right,takashi iizuka
governmentagency_left,ministry of infrastructure and the environment,governmentagency_right,ministry of planning and infrastructure
sportfacility_left,spartak stadium (odessa),sportfacility_right,spartak stadium (moscow)
soccerclubseason_left,2013 incheon united season,soccerclubseason_right,2012 incheon united fc season
footballleagueseason_left,2013 swedish football division 1,footballleagueseason_right,2013 division 1 (swedish football)
magazine_left,men's health (magazine),magazine_right,men's health
song_left,factory girl (song),song_right,factory girl (folk song)
case_left,solid waste agency of northern cook cty. v. army corps of engineers,case_right,solid waste agency of northern cook county v. army corps of engineers
drug_left,thiamylal,drug_right,thiambutene
ethnicgroup_left,welsh american,ethnicgroup_right,welsh americans
monarch_left,ali ibn muhammad,monarch_right,muhammad ibn shaddad
governmentagency_left,provincial emergency program (british columbia),governmentagency_right,emergency management bc
givenname_left,naoyuki,givenname_right,junichi
election_left,"czech legislative election, 2006",election_right,"czech legislative election, 2013"
naturalevent_left,1998 papua new guinea earthquake,naturalevent_right,2009 papua earthquakes
footballleagueseason_left,2003 j. league division 1,footballleagueseason_right,2002 j.league division 1
amphibian_left,valley and ridge salamander,amphibian_right,valley and ridge salamander
givenname_left,keishi,givenname_right,junichi
award_left,tvynovelas award for best first actor,award_right,tvynovelas award for best co-lead actor
legislature_left,national assembly (south korea),legislature_right,national assembly of south korea
memberofparliament_left,james ogden,memberofparliament_right,eric ogden
artwork_left,lieutenant general george washington,artwork_right,george washington (delue)
nationalfootballleagueseason_left,1941 brooklyn dodgers (nfl) season,nationalfootballleagueseason_right,1921 detroit tigers season (nfl)
soccerclubseason_left,2010 down senior football season,soccerclubseason_right,2009 down football season
televisionstation_left,ktuu-tv,televisionstation_right,krsu-tv
footballmatch_left,wps all-star 2010,footballmatch_right,2009 wps all-star game
givenname_left,clarissa (given name),givenname_right,tess (given name)
device_left,ipad (1st generation),device_right,ipad (fourth generation)
soccertournament_left,2003 uefa european under-17 football championship,soccertournament_right,2003 uefa european under-17 championship
unitofwork_left,minerals separation v. hyde,unitofwork_right,"minerals separation, ltd. v. hyde"
ethnicgroup_left,peruvian people,ethnicgroup_right,asian peruvians
ncaateamseason_left,2012 georgia state panthers football team,ncaateamseason_right,2011 fiu golden panthers football team
railwayline_left,gwangju subway line 1,railwayline_right,gwangju metro line 1
sportfacility_left,estadio el madrigal,sportfacility_right,estadio luis \
railwayline_left,"line 4, shanghai metro",railwayline_right,"line 3, shenzhen metro"
clericaladministrativeregion_left,diocese of australia and new zealand,clericaladministrativeregion_right,anglican diocese of north west australia
reptile_left,rodrigues giant day gecko,reptile_right,rodrigues giant day gecko
naturalevent_left,"may 30, 1998 afghanistan earthquake",naturalevent_right,february 1998 afghanistan earthquake
shoppingmall_left,auburn mall,shoppingmall_right,"auburn mall (auburn, massachusetts)"
sportfacility_left,varsity field (albany baseball),sportfacility_right,"varsity field (albany, new york)"
drug_left,bms-945429,drug_right,sb-357134
railwayline_left,hainan western ring railway,railwayline_right,hainan eastern ring railway
soccerleague_left,kenyan county league,soccerleague_right,kenyan provincial leagues
monarch_left,kavan tissa of ruhuna,monarch_right,"kavan tissa, prince of ruhuna"
historicbuilding_left,"st. john cathedral (fresno, california)",historicbuilding_right,"saint john the baptist cathedral (fresno, california)"
legislature_left,national legislature (sudan),legislature_right,national assembly of sudan
clericaladministrativeregion_left,roman catholic diocese of san carlos de bariloche,clericaladministrativeregion_right,roman catholic diocese of san juan de calama
soccerleague_left,swedish football division 2,soccerleague_right,swedish football division 2
case_left,united states v. thompson-center arms company,case_right,united states v. thompson-center arms co.
historicbuilding_left,"st. audoen's church, dublin",historicbuilding_right,"st. audoen's church, dublin (church of ireland)"
country_left,qin dynasty,country_right,ming dynasty
galaxy_left,ngc 7499,galaxy_right,ngc 6872
basketballteam_left,kk metalac valjevo,basketballteam_right,kk vojvodina srbijagas
memberofparliament_left,james drake (politician),memberofparliament_right,james drake (queensland politician)
artwork_left,terranuova madonna,artwork_right,madonna of foligno
song_left,bob dylan blues,song_right,st. louis blues (song)
race_left,singapore gold cup,race_right,december gold cup
ethnicgroup_left,belarusian american,ethnicgroup_right,belarusian americans
artwork_left,madonna and child enthroned (filippo lippi),artwork_right,madonna and child playing with the veil
race_left,prix maurice de nieuil,race_right,prix bertrand du breuil
historicbuilding_left,"st. mary's church, dublin",historicbuilding_right,"st mary's church, mary street, dublin"
railwayline_left,"line 2, shanghai metro",railwayline_right,"line 5, shenzhen metro"
sportfacility_left,sabah al salem stadium,sportfacility_right,al-khor sc stadium
artificialsatellite_left,mars reconnaissance orbiter,artificialsatellite_right,mars orbiter mission
historicbuilding_left,"st. kevin's church, camden row, dublin",historicbuilding_right,"st. andrew's church, westland row, dublin"
footballleagueseason_left,2012 j. league division 2,footballleagueseason_right,2002 j.league division 2
device_left,m119 howitzer,device_right,m1841 mountain howitzer
artwork_left,ognissanti madonna,artwork_right,madonna of foligno
soccertournament_left,1980 uefa european under-21 football championship,soccertournament_right,1980 uefa european under-21 championship
memberofparliament_left,william bird (uk politician),memberofparliament_right,william bird (chichester mp)
museum_left,american museum of natural history,museum_right,museum of nature & science
sportsleague_left,k league,sportsleague_right,k-league
nationalfootballleagueseason_left,1982 cleveland browns season,nationalfootballleagueseason_right,1921 detroit tigers season (nfl)
footballleagueseason_left,2013 j. league division 2,footballleagueseason_right,2011 j.league division 2
monarch_left,al-ashraf musa,monarch_right,abu'l-fath musa
case_left,"baldwin v. g. a. f. seelig, inc.",case_right,"baldwin v. g.a.f. seelig, inc."
governmentagency_left,ministry of labour and social solidarity,governmentagency_right,ministry of employment and labor
artificialsatellite_left,kosmos 1793,artificialsatellite_right,kosmos 1667
ncaateamseason_left,1905 lsu tigers football team,ncaateamseason_right,1895 lsu football team
legislature_left,national assembly (benin),legislature_right,national assembly of benin
galaxy_left,ngc 3842,galaxy_right,ngc 34
televisionstation_left,kmoh-tv,televisionstation_right,kmlu (tv)
memberofparliament_left,"paul mercier (politician, st. henri)",memberofparliament_right,paul mercier (liberal mp)
christianbishop_left,patriarch sophronius i of constantinople,christianbishop_right,sophronius i of constantinople
ncaateamseason_left,1907 alabama crimson tide football team,ncaateamseason_right,1895 alabama crimson white football team
soccerleague_left,victorian state league division 4,soccerleague_right,nsw state league division 2
reptile_left,hispaniolan green anole,reptile_right,hispaniolan green anole
shoppingmall_left,northlake mall (charlotte),shoppingmall_right,great northern mall (ohio)
artificialsatellite_left,kosmos 2282,artificialsatellite_right,kosmos 605
case_left,"board of governors, frs v. investment company institute",case_right,"board of governors, frs v. investment co. institute"
politicalparty_left,croatian labour party,politicalparty_right,croatian workers party
tournament_left,2005 south american under-17 football championship,tournament_right,2011 south american under-17 football championship
ncaateamseason_left,1934 alabama crimson tide football team,ncaateamseason_right,1896 alabama crimson white football team
politicalparty_left,party of social democracy (chile),politicalparty_right,party for democracy (chile)
soccerleague_left,stroud and district football league,soccerleague_right,stroud and district league
naturalevent_left,2012 zohan earthquake,naturalevent_right,2012 yangzhou earthquake
soccerleague_left,championnat de france amateur,soccerleague_right,championnat de france amateur 2
case_left,"ransom v. fia card services, n. a.",case_right,"ransom v. fia card services, n.a."
railwayline_left,"line 4, changchun light rail transit",railwayline_right,"line 4, changchun rail transit"
clericaladministrativeregion_left,roman catholic diocese of san juan bautista de las misiones,clericaladministrativeregion_right,roman catholic diocese of san juan de calama
election_left,"washington state senate elections, 2008",election_right,"washington state senate election, 2008"
venue_left,colonial theatre (boston),venue_right,"colonial theatre (boston, massachusetts)"
galaxy_left,ngc 1427a,galaxy_right,ngc 1265
museum_left,museum of aviation (belgrade),museum_right,museum of aviation
race_left,breeders' cup dirt mile,race_right,miracle mile (harness race)
wrestler_left,"chavo guerrero, jr.",wrestler_right,chavo guerrero sr.
footballmatch_left,2001 international rules series,footballmatch_right,2008 international rules series
soccertournament_left,2012 uefa women's u-19 championship,soccertournament_right,2012 uefa women's under-19 championship
sportfacility_left,prince abdullah bin jalawi stadium,sportfacility_right,king abdullah ii stadium
amphibian_left,longdong stream salamander,amphibian_right,longdong stream salamander
case_left,federal trade commission v. colgate-palmolive company,case_right,ftc v. colgate-palmolive co.
naturalevent_left,1896 meiji-sanriku earthquake,naturalevent_right,869 sanriku earthquake
naturalevent_left,2010 kaohsiung earthquakes,naturalevent_right,2010 kaohsiung earthquake
artwork_left,the virgin and child with st anne and st john the baptist,artwork_right,the virgin and child with st. anne (leonardo da vinci)
memberofparliament_left,david jones (new zealand politician),memberofparliament_right,david jones (welsh politician)
galaxy_left,ngc 3938,galaxy_right,ngc 34
monarch_left,ahmad ibn ali,monarch_right,abdullah ibn tahir al-khurasani
amphibian_left,mantidactylus delormei,amphibian_right,mantidactylus rivicola
galaxy_left,ngc 3344,galaxy_right,ngc 34
basketballteam_left,galatasaray medical park (men's basketball),basketballteam_right,galatasaray s.k. (wheelchair basketball)
galaxy_left,ngc 5665,galaxy_right,ngc 5562
historicbuilding_left,st john on bethnal green,historicbuilding_right,"st peter's, bethnal green"
rugbyleague_left,super cup (rugby union),rugbyleague_right,league cup (rugby league)
soccerclubseason_left,2007 australia national football team season,soccerclubseason_right,2012 australia national soccer team season
tournament_left,2010 south american under 17 women championship,tournament_right,2010 south american u-20 women's championship
memberofparliament_left,parmjit singh gill,memberofparliament_right,p. chandrasekaran
drug_left,bms-945429,drug_right,sb-258719
memberofparliament_left,thomas griffiths (politician),memberofparliament_right,charles griffiths (politician)
shoppingmall_left,spires shopping centre,shoppingmall_right,the spires shopping centre
song_left,tajomstvo hier,song_right,rak bishvilo
historicbuilding_left,"st. stephen's cathedral (owensboro, kentucky)",historicbuilding_right,"st. stephen cathedral (owensboro, kentucky)"
governmentagency_left,department of transport and main roads,governmentagency_right,ministry of road transport and highways
sportsleague_left,kenyan provincial league,sportsleague_right,kenyan county leagues
election_left,"belgian regional elections, 1999",election_right,"belgian general election, 1999"
ethnicgroup_left,history of the jews in burma,ethnicgroup_right,history of the jews in myanmar
motorsportseason_left,1992 all japan sports prototype car endurance championship season,motorsportseason_right,1989 all japan sports prototype car endurance championship
museum_left,aviation museum of kentucky,museum_right,museum of aviation
basketballteam_left,nuova amg sebastiani basket napoli,basketballteam_right,nuova amg sebastiani basket rieti
device_left,zastava m80,device_right,zastava m77 b1
historicbuilding_left,"cathedral of christ the king, mullingar",historicbuilding_right,"christ the king cathedral, mullingar"
basketballteam_left,sutor basket montegranaro,basketballteam_right,universo treviso basket
soccerleague_left,victorian state league division 4,soccerleague_right,northern nsw state league division 1
footballleagueseason_left,2011 j. league division 2,footballleagueseason_right,2002 j.league division 2
legislature_left,legislative assembly (france),legislature_right,national assembly of france
historicbuilding_left,st. andrew's evangelical lutheran church (toronto),historicbuilding_right,st. peter's lutheran church (ottawa)
railwayline_left,"line 1, guangzhou metro",railwayline_right,"line 2, shenzhen metro"
christianbishop_left,michael lewis (bishop),christianbishop_right,michael evans (bishop)
footballleagueseason_left,2013 j. league division 2,footballleagueseason_right,2012 j.league division 1
railwayline_left,"line 1, guangzhou metro",railwayline_right,"line 1, shenzhen metro"
soccerclubseason_left,2011 jeonbuk hyundai motors season,soccerclubseason_right,2012 jeonbuk hyundai motors fc season
artwork_left,the great day of girona,artwork_right,the great day of girona
nationalfootballleagueseason_left,1914 canton bulldogs season,nationalfootballleagueseason_right,1913 canton professionals season
memberofparliament_left,iain stewart (politician),memberofparliament_right,ian allan (politician)
naturalevent_left,1973 veracruz earthquake,naturalevent_right,1980 oaxaca earthquake
soccerleague_left,usl first division,soccerleague_right,usl w-league
sportfacility_left,king abdullah stadium,sportfacility_right,king abdullah ii stadium
enzyme_left,p-benzoquinone reductase (nadph),enzyme_right,nadh:ubiquinone reductase (h+-translocating)
naturalevent_left,2005 qeshm earthquake,naturalevent_right,2004 al hoceima earthquake
nationalfootballleagueseason_left,1982 tampa bay buccaneers season,nationalfootballleagueseason_right,1921 detroit tigers season (nfl)
rugbyleague_left,irb sevens world series,rugbyleague_right,world rugby sevens series
amphibian_left,cheoah bald salamander,amphibian_right,cheoah bald salamander
case_left,illinois central railroad v. illinois,case_right,"chicago, burlington & quincy railroad co. v. city of chicago"
footballmatch_left,2011 football league championship play-off final,footballmatch_right,2011 conference premier play-off final
rugbyleague_left,rugby league world cup,rugbyleague_right,world rugby pacific nations cup
election_left,"tamil nadu legislative assembly election, 1989",election_right,"tamil nadu legislative assembly election, 1980"
tennistournament_left,2011 aegon championships,tennistournament_right,2011 aegon classic
unitofwork_left,mclaurin v. oklahoma state regents,unitofwork_right,sipuel v. board of regents of the university of oklahoma
monarch_left,inayatullah khan,monarch_right,najabat ali khan
election_left,"washington state senate elections, 2014",election_right,"washington state senate election, 2008"
governmentagency_left,new south wales department of aboriginal affairs,governmentagency_right,aboriginal affairs nsw
footballleagueseason_left,1997 swedish football division 3,footballleagueseason_right,1999 swedish football division 3
ethnicgroup_left,afro-dominican,ethnicgroup_right,afro-dominicans (dominican republic)
footballmatch_left,2011 kenyan super cup,footballmatch_right,2013 kenyan super cup (pre-season)
unitofwork_left,terminiello v. chicago,unitofwork_right,terminiello v. city of chicago
sportfacility_left,roberts municipal stadium,sportfacility_right,roberts stadium (soccer stadium)
amphibian_left,weller's salamander,amphibian_right,weller's salamander
device_left,type 38 12 cm howitzer,device_right,type 91 10 cm howitzer
givenname_left,dalia (name),givenname_right,dalia (given name)
